Time period and dataset code row,"Number of people
(thousands)","Economically active  
(thousands)
[note 1]","Employment level 
(thousands) 
[note 2]","Unemployment level 
(thousands) 
[note 2]","Economically inactive 
(thousands) 
[note 3]","Economically active rate 
(%)
","Employment rate
(%)
[note 4]","Unemployment rate 
(%)
[note 4]","Economically inactive rate 
(%)
[note 4]"
Dataset identifier code,MGSL,MGSF,MGRZ,MGSC,MGSI,MGWG,MGSR,MGSX,YBTC
Mar to May 1985,"43,983","27,710","24,554","3,156","16,273",63,55.8,11.4,37
Apr to Jun 1985,"44,006","27,722","24,570","3,152","16,284",63,55.8,11.4,37
May to Jul 1985,"44,029","27,735","24,590","3,145","16,294",63,55.8,11.3,37
Jun to Aug 1985,"44,051","27,749","24,610","3,139","16,302",63,55.9,11.3,37
Jul to Sep 1985,"44,069","27,762","24,625","3,137","16,307",63,55.9,11.3,37
Aug to Oct 1985,"44,087","27,770","24,635","3,135","16,317",63,55.9,11.3,37
Sep to Nov 1985,"44,104","27,783","24,650","3,133","16,321",63,55.9,11.3,37
Oct to Dec 1985,"44,122","27,795","24,660","3,135","16,328",63,55.9,11.3,37
Nov to Jan 1986,"44,140","27,798","24,660","3,138","16,342",63,55.9,11.3,37
Dec to Feb 1986,"44,158","27,813","24,670","3,143","16,345",63,55.9,11.3,37
Jan to Mar 1986,"44,175","27,820","24,670","3,150","16,356",63,55.8,11.3,37
Feb to Apr 1986,"44,193","27,826","24,675","3,151","16,367",63,55.8,11.3,37
Mar to May 1986,"44,211","27,837","24,683","3,154","16,373",63,55.8,11.3,37
Apr to Jun 1986,"44,228","27,853","24,695","3,159","16,375",63,55.8,11.3,37
May to Jul 1986,"44,246","27,888","24,720","3,168","16,358",63,55.9,11.4,37
Jun to Aug 1986,"44,264","27,915","24,740","3,175","16,348",63.1,55.9,11.4,36.9
Jul to Sep 1986,"44,282","27,947","24,770","3,177","16,335",63.1,55.9,11.4,36.9
Aug to Oct 1986,"44,299","27,971","24,800","3,171","16,328",63.1,56,11.3,36.9
Sep to Nov 1986,"44,317","27,995","24,830","3,165","16,323",63.2,56,11.3,36.8
Oct to Dec 1986,"44,335","28,006","24,850","3,156","16,330",63.2,56.1,11.3,36.8
Nov to Jan 1987,"44,353","28,025","24,875","3,150","16,328",63.2,56.1,11.2,36.8
Dec to Feb 1987,"44,371","28,034","24,900","3,134","16,337",63.2,56.1,11.2,36.8
Jan to Mar 1987,"44,389","28,038","24,925","3,113","16,351",63.2,56.2,11.1,36.8
Feb to Apr 1987,"44,407","28,060","24,970","3,090","16,347",63.2,56.2,11,36.8
Mar to May 1987,"44,425","28,092","25,031","3,061","16,333",63.2,56.3,10.9,36.8
Apr to Jun 1987,"44,443","28,131","25,110","3,021","16,312",63.3,56.5,10.7,36.7
May to Jul 1987,"44,461","28,163","25,190","2,973","16,298",63.3,56.7,10.6,36.7
Jun to Aug 1987,"44,479","28,199","25,270","2,929","16,279",63.4,56.8,10.4,36.6
Jul to Sep 1987,"44,491","28,230","25,345","2,885","16,261",63.5,57,10.2,36.5
Aug to Oct 1987,"44,504","28,258","25,420","2,838","16,245",63.5,57.1,10,36.5
Sep to Nov 1987,"44,516","28,283","25,495","2,788","16,233",63.5,57.3,9.9,36.5
Oct to Dec 1987,"44,528","28,316","25,575","2,741","16,212",63.6,57.4,9.7,36.4
Nov to Jan 1988,"44,541","28,352","25,655","2,697","16,189",63.7,57.6,9.5,36.3
Dec to Feb 1988,"44,553","28,387","25,730","2,657","16,166",63.7,57.8,9.4,36.3
Jan to Mar 1988,"44,565","28,407","25,795","2,613","16,158",63.7,57.9,9.2,36.3
Feb to Apr 1988,"44,578","28,429","25,860","2,569","16,149",63.8,58,9,36.2
Mar to May 1988,"44,590","28,439","25,913","2,526","16,152",63.8,58.1,8.9,36.2
Apr to Jun 1988,"44,603","28,460","25,970","2,490","16,143",63.8,58.2,8.7,36.2
May to Jul 1988,"44,615","28,482","26,030","2,452","16,133",63.8,58.3,8.6,36.2
Jun to Aug 1988,"44,627","28,516","26,100","2,416","16,112",63.9,58.5,8.5,36.1
Jul to Sep 1988,"44,640","28,545","26,160","2,385","16,094",63.9,58.6,8.4,36.1
Aug to Oct 1988,"44,652","28,591","26,230","2,361","16,061",64,58.7,8.3,36
Sep to Nov 1988,"44,664","28,623","26,290","2,333","16,041",64.1,58.9,8.2,35.9
Oct to Dec 1988,"44,676","28,648","26,355","2,293","16,028",64.1,59,8,35.9
Nov to Jan 1989,"44,688","28,683","26,430","2,253","16,005",64.2,59.1,7.9,35.8
Dec to Feb 1989,"44,701","28,723","26,510","2,213","15,977",64.3,59.3,7.7,35.7
Jan to Mar 1989,"44,713","28,769","26,590","2,179","15,944",64.3,59.5,7.6,35.7
Feb to Apr 1989,"44,725","28,800","26,660","2,140","15,925",64.4,59.6,7.4,35.6
Mar to May 1989,"44,737","28,815","26,709","2,106","15,922",64.4,59.7,7.3,35.6
Apr to Jun 1989,"44,750","28,813","26,730","2,083","15,937",64.4,59.7,7.2,35.6
May to Jul 1989,"44,762","28,821","26,750","2,071","15,941",64.4,59.8,7.2,35.6
Jun to Aug 1989,"44,774","28,832","26,775","2,057","15,942",64.4,59.8,7.1,35.6
Jul to Sep 1989,"44,782","28,840","26,795","2,045","15,942",64.4,59.8,7.1,35.6
Aug to Oct 1989,"44,790","28,854","26,820","2,034","15,935",64.4,59.9,7.1,35.6
Sep to Nov 1989,"44,798","28,877","26,850","2,027","15,920",64.5,59.9,7,35.5
Oct to Dec 1989,"44,805","28,901","26,880","2,021","15,905",64.5,60,7,35.5
Nov to Jan 1990,"44,813","28,902","26,890","2,012","15,912",64.5,60,7,35.5
Dec to Feb 1990,"44,821","28,906","26,900","2,006","15,915",64.5,60,6.9,35.5
Jan to Mar 1990,"44,829","28,904","26,900","2,004","15,925",64.5,60,6.9,35.5
Feb to Apr 1990,"44,836","28,914","26,910","2,004","15,923",64.5,60,6.9,35.5
Mar to May 1990,"44,844","28,925","26,922","2,004","15,919",64.5,60,6.9,35.5
Apr to Jun 1990,"44,852","28,937","26,935","2,002","15,915",64.5,60.1,6.9,35.5
May to Jul 1990,"44,860","28,954","26,945","2,009","15,906",64.5,60.1,6.9,35.5
Jun to Aug 1990,"44,868","28,954","26,930","2,024","15,913",64.5,60,7,35.5
Jul to Sep 1990,"44,875","28,949","26,900","2,049","15,926",64.5,59.9,7.1,35.5
Aug to Oct 1990,"44,883","28,934","26,855","2,079","15,949",64.5,59.8,7.2,35.5
Sep to Nov 1990,"44,890","28,920","26,805","2,115","15,970",64.4,59.7,7.3,35.6
Oct to Dec 1990,"44,898","28,908","26,750","2,158","15,990",64.4,59.6,7.5,35.6
Nov to Jan 1991,"44,905","28,881","26,685","2,196","16,025",64.3,59.4,7.6,35.7
Dec to Feb 1991,"44,913","28,859","26,615","2,244","16,053",64.3,59.3,7.8,35.7
Jan to Mar 1991,"44,920","28,836","26,530","2,306","16,085",64.2,59.1,8,35.8
Feb to Apr 1991,"44,928","28,828","26,450","2,378","16,100",64.2,58.9,8.2,35.8
Mar to May 1991,"44,935","28,807","26,365","2,442","16,128",64.1,58.7,8.5,35.9
Apr to Jun 1991,"44,941","28,767","26,275","2,492","16,174",64,58.5,8.7,36
May to Jul 1991,"44,947","28,730","26,190","2,540","16,217",63.9,58.3,8.8,36.1
Jun to Aug 1991,"44,952","28,690","26,105","2,585","16,262",63.8,58.1,9,36.2
Jul to Sep 1991,"44,958","28,649","26,025","2,624","16,309",63.7,57.9,9.2,36.3
Aug to Oct 1991,"44,964","28,607","25,955","2,652","16,357",63.6,57.7,9.3,36.4
Sep to Nov 1991,"44,970","28,560","25,885","2,675","16,409",63.5,57.6,9.4,36.5
Oct to Dec 1991,"44,975","28,517","25,820","2,697","16,459",63.4,57.4,9.5,36.6
Nov to Jan 1992,"44,981","28,489","25,775","2,714","16,492",63.3,57.3,9.5,36.7
Dec to Feb 1992,"44,987","28,476","25,740","2,735","16,511",63.3,57.2,9.6,36.7
Jan to Mar 1992,"44,992","28,472","25,710","2,762","16,520",63.3,57.1,9.7,36.7
Feb to Apr 1992,"44,998","28,467","25,685","2,782","16,531",63.3,57.1,9.8,36.7
Mar to May 1992,"44,992","28,432","25,636","2,796","16,560",63.2,57,9.8,36.8
Apr to Jun 1992,"44,996","28,383","25,605","2,777","16,613",63.1,56.9,9.8,36.9
May to Jul 1992,"44,999","28,344","25,542","2,803","16,655",63,56.8,9.9,37
